linha_csv;demandante;situacao;motivo;plano;numero_item;classe;valor_total;descricao
815;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;404;3455;800.0;Ferramentas, Máquinas e ferramentas de marcenaria, Carpintaria e serralheria MICRO RETÍFICA MANUAL, bivolt (127/220V) e 60Hz, garantia de 2 anos ou mais, velocidade variável, rotação mínima de 5000 a 35.000 rpm | 449052
819;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;405;5680;5130.0;"Ferramentas em geral Serra circular 185 (7.1/4"") x 24 dentes para madeira | 339030"
823;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;406;5680;200.0;Ferramentas em geral JOGO DE CHAVES TIPO ALLEN DE 0,05, 1/16 - 5/64, 3/32, 7/64, 1/8, 9/64, 5/32, 3/16, 7/32, 1/4, 5/16 E 3/8 | 339030
831;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;408;5680;8.02;Ferramentas em geral COLHER DE PEDREIRO | 339030
835;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;409;5680;75.0;Ferramentas em geral LIMA Chata 300mm com cabo de madeira | 339030
839;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;410;5905;4275.0;Aparelhos eletrodomésticos em geral e utilidade ESCADA | 339030
843;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;411;4610;5350.0;"Aparelhos eletrodomésticos em geral e louça PURIFICADOR DE ÁGUA/BEBEDOURO: Fixação em parede, com espaço para jarra, com fornecimento de água natural, fria e gelada; Vida útil do elemento filtrante: 4.500L ou mínimo de 6 meses e máximo de 12 meses | 449052"
847;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;412;4140;7517.74;Aparelhos eletrodomésticos em geral e mobília VENTILADOR de Mesa e Parede, Preto, 40cm, com no mínimo 126w de potência | 449052
851;COMAP;publicado com pendência;unidade_fornecimento_ausente,classe_sugerida;170394;413;5412;3850000.0;Cobertura para viaturas (módulo) | 449051
852;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;414;7110;536796.0;Móveis em geral SOFÁ RETO DE 1 LUGAR | 449052
